selected,gene_id,gene_name
1,WBGene00004409,rla-1
1,WBGene00016508,C37H5.5
1,WBGene00000802,crt-1
1,WBGene00004501,rpt-1
1,WBGene00016655,acbp-1
1,WBGene00004456,rpl-43
1,WBGene00006519,tag-174
1,WBGene00004445,rpl-31
1,WBGene00004408,rla-0
1,WBGene00016011,C23G10.2
1,WBGene00006367,sym-2
1,WBGene00004486,rps-17
1,WBGene00019240,H24K24.3
1,WBGene00003214,mel-32
1,WBGene00006586,tni-4
1,WBGene00011273,R53.4
1,WBGene00001228,eif-3.E
1,WBGene00006926,vit-2
1,WBGene00004452,rpl-38
1,WBGene00011247,R11D1.9
1,WBGene00022793,ZK686.3
1,WBGene00003818,nsf-1
1,WBGene00006727,ubq-1
1,WBGene00004477,rps-8
1,WBGene00003078,lsm-4
1,WBGene00015101,rpia-1
1,WBGene00022470,Y119C1B.4
1,WBGene00008920,eef-1G
1,WBGene00002259,lbp-7
1,WBGene00007708,C25A1.6
1,WBGene00001509,fzo-1
1,WBGene00001077,dpy-18
1,WBGene00017121,cyc-2.1
1,WBGene00003171,mec-7
1,WBGene00004449,rpl-35
1,WBGene00004679,rars-1
1,WBGene00004447,rpl-33
1,WBGene00022856,cth-2
1,WBGene00000915,daf-21
1,WBGene00000240,pah-1
1,WBGene00002250,W07G4.4
1,WBGene00004485,rps-16
1,WBGene00004432,rpl-20
1,WBGene00002065,iff-2
1,WBGene00004412,rpl-1
1,WBGene00006754,unc-15
1,WBGene00022301,cpsf-1
1,WBGene00012652,Y39A1A.14
1,WBGene00019402,K04G7.11
1,WBGene00004429,rpl-17
1,WBGene00008654,F10F2.2
1,WBGene00003990,pfn-2
1,WBGene00014083,ZK795.3
1,WBGene00019800,mtss-1
1,WBGene00002190,kin-2
1,WBGene00015555,C06G3.9
1,WBGene00004434,rpl-22
1,WBGene00004438,rpl-25.1
1,WBGene00004418,rpl-7
1,WBGene00006918,vha-9
1,WBGene00012015,T25B9.9
1,WBGene00010406,math-33
1,WBGene00017928,tut-1
1,WBGene00022739,toe-1
1,WBGene00003463,msp-76
1,WBGene00015540,sams-4
1,WBGene00019457,K06H7.3
1,WBGene00007429,C08B6.8
1,WBGene00004025,phy-2
1,WBGene00020604,T20B12.7
1,WBGene00016978,C56G2.3
1,WBGene00000216,asp-3
1,WBGene00009084,F23B12.7
1,WBGene00004437,rpl-24.2
1,WBGene00016201,C28H8.11
1,WBGene00015185,mrpl-41
1,WBGene00004806,skp-1
1,WBGene00004428,rpl-16
1,WBGene00022718,ZK370.4
1,WBGene00017984,F32D1.5
1,WBGene00004496,rps-27
1,WBGene00000962,dhc-1
1,WBGene00009732,F45G2.4
1,WBGene00008151,C47E12.7
1,WBGene00004472,rps-3
1,WBGene00004419,rpl-7A
1,WBGene00004439,rpl-25.2
1,WBGene00004431,rpl-19
1,WBGene00009542,F38E11.5
1,WBGene00000879,cyn-3
1,WBGene00004424,rpl-12
1,WBGene00017546,rpa-1
1,WBGene00000200,arx-2
1,WBGene00004441,rpl-27
1,WBGene00007129,B0272.3
1,WBGene00006538,tbb-4
1,WBGene00004185,pro-1
1,WBGene00004473,rps-4
1,WBGene00002025,hsp-60
1,WBGene00003815,nars-1
1,WBGene00016740,C48B6.2
1,WBGene00004494,rps-25
1,WBGene00020269,T05H4.6a
1,WBGene00004435,rpl-23
1,WBGene00006697,uaf-1
1,WBGene00004915,snr-2
1,WBGene00004427,rpl-15
1,WBGene00003949,pbs-3
1,WBGene00001999,hrp-1
1,WBGene00004470,rps-1
1,WBGene00003157,mcm-5
1,WBGene00004789,sgk-1
1,WBGene00017166,aldo-2
1,WBGene00004430,rpl-18
1,WBGene00001794,gta-1
1,WBGene00002053,ifb-1
1,WBGene00017283,F09E5.3
1,WBGene00015168,tag-320
1,WBGene00004931,sod-2
1,WBGene00020146,T01C8.5
1,WBGene00000219,asp-6
1,WBGene00008311,rskn-2
1,WBGene00003235,mif-2
1,WBGene00004488,rps-19
1,WBGene00003926,pas-5
1,WBGene00002001,hars-1
1,WBGene00004483,rps-14
1,WBGene00004798,sip-1
1,WBGene00016103,dpyd-1
1,WBGene00014224,ZK1098.7
1,WBGene00004475,rps-6
1,WBGene00015941,C18A3.3
1,WBGene00004914,snr-1
1,WBGene00001000,dim-1
1,WBGene00004421,rpl-10
1,WBGene00017132,mel-47
1,WBGene00001755,gst-7
1,WBGene00002249,lap-1
1,WBGene00014098,ZK836.2
1,WBGene00000831,ctl-2
1,WBGene00004415,rpl-4
1,WBGene00003485,mua-6
1,WBGene00020142,aak-2
1,WBGene00017085,E01A2.2
1,WBGene00011481,imp-2
1,WBGene00019295,K02B2.1
1,WBGene00002335,let-60
1,WBGene00003158,mcm-6
1,WBGene00003225,mev-1
1,WBGene00011637,T09A5.9
1,WBGene00020831,T26C12.1
1,WBGene00006534,tba-8
1,WBGene00013301,Y57G11C.3
1,WBGene00004482,rps-13
1,WBGene00001169,eef-1A.2
1,WBGene00020112,pfd-5
1,WBGene00006584,tni-1
1,WBGene00009187,F27D4.1
1,WBGene00004478,rps-9
1,WBGene00008205,sams-1
1,WBGene00004476,rps-7
1,WBGene00015524,C06E1.9
1,WBGene00004723,sap-49
1,WBGene00004422,rpl-11.1
1,WBGene00001746,gsk-3
1,WBGene00008452,mrps-5
1,WBGene00004460,rpn-3
1,WBGene00011334,T01E8.6
1,WBGene00001155,ech-6
1,WBGene00004468,rpn-12
1,WBGene00001600,glh-3
1,WBGene00004417,rpl-6
1,WBGene00002238,kars-1
1,WBGene00003922,pas-1
1,WBGene00015920,C17G10.9
1,WBGene00001601,glh-4
1,WBGene00012880,Y45F10C.4
1,WBGene00003052,lmn-1
1,WBGene00003393,mog-5
1,WBGene00019900,R05G6.7
1,WBGene00004980,spk-1
1,WBGene00004469,rps-0
1,WBGene00015346,C02F5.3
1,WBGene00003920,par-5
1,WBGene00001227,eif-3.D
1,WBGene00021830,Y54E10A.10
1,WBGene00002011,hsp-12.2
1,WBGene00022046,Y66H1A.4
1,WBGene00006794,unc-60
1,WBGene00014250,ZK1307.9
1,WBGene00000229,atp-2
1,WBGene00011281,R74.7
1,WBGene00002254,lbp-2
1,WBGene00004433,rpl-21
1,WBGene00003186,mek-2
1,WBGene00006829,unc-101
1,WBGene00018963,ucr-1
1,WBGene00000380,cct-5
1,WBGene00001020,dnj-2
1,WBGene00004916,snr-3
1,WBGene00015814,C16A3.10
1,WBGene00004413,rpl-2
1,WBGene00010896,M28.5
1,WBGene00019246,rpb-5
1,WBGene00004484,rps-15
1,WBGene00012344,tag-210
1,WBGene00002083,inf-1
1,WBGene00004420,rpl-9
1,WBGene00008741,F13D12.6
1,WBGene00003821,nst-1
1,WBGene00004929,soc-2
1,WBGene00000210,asg-2
1,WBGene00008505,F01G4.6
1,WBGene00006537,tbb-2
1,WBGene00013894,ZC434.8
1,WBGene00000881,cyn-5
1,WBGene00004495,rps-26
1,WBGene00010923,rle-1
1,WBGene00001596,gld-2
1,WBGene00004416,rpl-5
1,WBGene00003927,pas-6
1,WBGene00000785,cpr-5
1,WBGene00001225,eif-3.B
1,WBGene00006601,tpi-1
1,WBGene00001758,gst-10
1,WBGene00001094,dars-1
1,WBGene00006529,tba-2
1,WBGene00000378,cct-2
1,WBGene00001993,hpd-1
1,WBGene00008745,F13E6.1
1,WBGene00001683,gpd-1
1,WBGene00001686,gpd-4
1,WBGene00000123,ama-1
1,WBGene00007927,C34C12.8
1,WBGene00009992,F53F4.10
1,WBGene00002879,let-754
1,WBGene00002008,hsp-4
1,WBGene00020507,vha-15
1,WBGene00001503,fum-1
1,WBGene00006964,xrn-2
1,WBGene00000784,cpr-4
1,WBGene00020185,pgk-1
1,WBGene00004471,rps-2
1,WBGene00001149,bcat-1
1,WBGene00011510,T05H10.6
1,WBGene00001167,eef-2
1,WBGene00000479,cgh-1
1,WBGene00012978,Y48B6A.1
1,WBGene00002007,hsp-3
1,WBGene00016509,C37H5.6
1,WBGene00000114,alh-8
1,WBGene00009531,F38B2.4
1,WBGene00011061,R06C7.1
1,WBGene00004504,rpt-4
1,WBGene00001749,gst-1
1,WBGene00003928,pas-7
1,WBGene00003925,pas-4
1,WBGene00016142,C26E6.6
1,WBGene00004425,rpl-13
1,WBGene00009812,F47B10.1
1,WBGene00000771,cpb-2
1,WBGene00010778,gpdh-2
1,WBGene00008607,F09B12.3
1,WBGene00012608,Y38F1A.6
1,WBGene00017686,F21H12.6
1,WBGene00003369,mlc-1
1,WBGene00003370,mlc-2
1,WBGene00019543,cif-1
1,WBGene00018271,F41C3.5
1,WBGene00001684,gpd-2
1,WBGene00021934,cct-8
1,WBGene00004414,rpl-3
1,WBGene00003389,mog-1
1,WBGene00000064,act-2
1,WBGene00000066,act-4
1,WBGene00000065,act-3
1,WBGene00000063,act-1
1,WBGene00018519,F46H5.3
1,WBGene00004474,rps-5
1,WBGene00002005,hsp-1
1,WBGene00010419,H28O16.1
1,WBGene00006764,unc-27
1,WBGene00002010,hsp-6
1,WBGene00015413,C04C3.3
1,WBGene00005663,sars-1
1,WBGene00006921,vha-12
1,WBGene00002169,isw-1
1,WBGene00016250,C30C11.4
1,WBGene00004355,rha-1
1,WBGene00010627,K07C5.4
1,WBGene00006574,tin-13
1,WBGene00000567,cnx-1
1,WBGene00000381,cct-6
1,WBGene00001748,gsp-2
1,WBGene00020366,acdh-10
1,WBGene00016898,C53C9.2
1,WBGene00019322,ahcy-1
1,WBGene00007352,cdc-48.1
1,WBGene00008053,cdc-48.2
1,WBGene00000480,cgp-1
1,WBGene00002202,kin-19
1,WBGene00001259,emb-5
1,WBGene00011474,aldo-1
1,WBGene00004492,rps-23
1,WBGene00015125,B0303.3
1,WBGene00004463,rpn-7
1,WBGene00015734,C13B9.3
1,WBGene00009664,F43G9.1
1,WBGene00006433,sdhb-1
1,WBGene00006936,vars-2
1,WBGene00010097,F55C5.8
1,WBGene00010556,rack-1
1,WBGene00002262,ldh-1
1,WBGene00004014,phb-1
1,WBGene00001423,fib-1
1,WBGene00011897,scpl-4
1,WBGene00020383,T09B4.9
1,WBGene00010037,F54C8.4
1,WBGene00020679,T22B11.5
1,WBGene00018421,F44E2.8
1,WBGene00021852,Y54F10AM.8
1,WBGene00000041,aco-2
1,WBGene00011775,T14G10.5
1,WBGene00007993,C37E2.1
1,WBGene00017245,F08D12.1
1,WBGene00008765,ttx-7
1,WBGene00005022,sqv-4
1,WBGene00012376,nduf-7
1,WBGene00001599,glh-2
1,WBGene00003123,mag-1
1,WBGene00020297,T07A9.9
1,WBGene00001598,glh-1
1,WBGene00003992,pgl-1
1,WBGene00004880,smg-2
1,WBGene00000935,daz-1
1,WBGene00013983,ZK512.2
1,WBGene00001595,gld-1
1,WBGene00006789,unc-54
1,WBGene00004033,pkc-2
1,WBGene00000115,alh-9
1,WBGene00001918,his-44
1,WBGene00011867,chc-1
1,WBGene00004302,ran-1
1,WBGene00008167,C48B4.1
1,WBGene00010478,K01G5.5
1,WBGene00007197,B0513.5
1,WBGene00001941,his-67
1,WBGene00010130,vha-14
1,WBGene00006927,vit-3
1,WBGene00006928,vit-4
1,WBGene00006929,vit-5
1,WBGene00001130,dyn-1
1,WBGene00006925,vit-1
1,WBGene00004277,rab-18
1,WBGene00001502,ftt-2
1,WBGene00019682,K12H4.7
1,WBGene00003955,pcn-1
1,WBGene00012553,cco-2
1,WBGene00020068,cra-1
1,WBGene00004703,rsp-6
1,WBGene00011527,cchl-1
1,WBGene00003242,mig-6
1,WBGene00010780,K11H3.3
1,WBGene00007859,C32A3.2
1,WBGene00006840,unc-116
1,WBGene00003162,mdh-2
1,WBGene00008664,F10G8.6
1,WBGene00007010,alx-1
1,WBGene00001744,gars-1
1,WBGene00020437,T12A2.2
1,WBGene00004698,rsp-1
1,WBGene00013144,Y53C12B.2
1,WBGene00002152,iars-1
1,WBGene00014244,ZK1307.1
1,WBGene00010790,sodh-1
1,WBGene00007330,C05C10.3
1,WBGene00006449,tag-76
1,WBGene00006510,tag-165
1,WBGene00001231,eif-3.H
1,WBGene00018961,F56D1.3
1,WBGene00011064,R06C7.5
1,WBGene00001527,gcs-1
1,WBGene00000542,clp-1
1,WBGene00008149,pyp-1
1,WBGene00000405,cdk-1
1,WBGene00018138,folt-2
1,WBGene00003901,paa-1
1,WBGene00017319,F09G8.3
1,WBGene00015512,C06A8.1
1,WBGene00000266,bre-1
1,WBGene00006920,vha-11
1,WBGene00009973,F53C11.3
1,WBGene00019679,K12H4.4
1,WBGene00001229,eif-3.F
1,WBGene00003063,lpd-7
1,WBGene00004269,rab-6.1
1,WBGene00010230,F58A4.9
1,WBGene00007624,C16C10.3
1,WBGene00006810,unc-78
1,WBGene00016844,C50F7.4
1,WBGene00004981,spl-1
1,WBGene00020169,mmaa-1
1,WBGene00003073,lars-1
1,WBGene00004459,rpn-2
1,WBGene00001648,goa-1
1,WBGene00004920,snr-7
1,WBGene00010785,top-2
1,WBGene00001754,gst-6
1,WBGene00007122,B0250.5
1,WBGene00004699,rsp-2
1,WBGene00002191,kin-3
1,WBGene00012556,Y37D8A.18
1,WBGene00003390,sap-1
1,WBGene00016977,C56G2.1
1,WBGene00010117,nkb-3
1,WBGene00202503,let-75
1,WBGene00011953,T23F11.1
1,WBGene00004053,pme-5
1,WBGene00004888,smo-1
1,WBGene00001173,egl-4
1,WBGene00010560,iftb-1
1,WBGene00003514,myo-2
1,WBGene00001520,gas-1
1,WBGene00001402,fbf-2
1,WBGene00018866,F55A12.8
1,WBGene00013025,vha-13
1,WBGene00002059,ife-1
1,WBGene00011638,ostb-1
1,WBGene00004357,rho-1
1,WBGene00000209,asg-1
1,WBGene00000081,ads-1
1,WBGene00009514,F37H8.5
1,WBGene00003036,lin-53
1,WBGene00016194,C28H8.3
1,WBGene00022380,Y94H6A.8
1,WBGene00004502,rpt-2
1,WBGene00006617,tars-1
1,WBGene00001226,eif-3.C
1,WBGene00004405,rop-1
1,WBGene00002061,ife-3
1,WBGene00011884,enol-1
1,WBGene00014202,mmcm-1
1,WBGene00017864,pcca-1
1,WBGene00021486,lbp-9
0,WBGene00006603,tps-2
0,WBGene00015064,B0228.7
0,WBGene00002020,hsp-16.49
0,WBGene00016321,C32E8.3
0,WBGene00003991,pfn-3
0,WBGene00012382,ttr-16
0,WBGene00011291,R102.4
0,WBGene00007458,C08F11.11
0,WBGene00002016,hsp-16.2
0,WBGene00010539,ttr-2
0,WBGene00015876,C17B7.2
0,WBGene00000482,chd-3
0,WBGene00000781,cpr-1
0,WBGene00021170,arx-4
0,WBGene00018891,F55F8.3
0,WBGene00019544,K08F11.5
0,WBGene00000187,arl-1
0,WBGene00007329,C05C10.2
0,WBGene00003932,pat-6
0,WBGene00001160,efk-1
0,WBGene00015525,rha-2
0,WBGene00011813,T16H12.3
0,WBGene00002632,let-413
0,WBGene00008455,E02H1.1
0,WBGene00001001,dis-3
0,WBGene00003580,ndx-3
0,WBGene00010035,F54C8.1
0,WBGene00002067,ifp-1
0,WBGene00015802,C15H9.7
0,WBGene00009818,acbp-3
0,WBGene00022770,acp-1
0,WBGene00000043,acr-3
0,WBGene00000080,adr-2
0,WBGene00000090,age-1
0,WBGene00000199,arx-1
0,WBGene00000204,arx-6
0,WBGene00010769,asah-1
0,WBGene00014025,asna-1
0,WBGene00007089,B0001.4
0,WBGene00015104,B0280.9
0,WBGene00007137,B0285.4
0,WBGene00015116,B0286.3
0,WBGene00015139,B0310.3
0,WBGene00015160,B0361.6
0,WBGene00015177,B0416.1
0,WBGene00015181,B0416.5
0,WBGene00007184,B0464.2
0,WBGene00015206,B0495.7
0,WBGene00015207,B0495.8
0,WBGene00000235,baf-1
0,WBGene00000238,bar-1
0,WBGene00013689,bath-40
0,WBGene00011815,spop-1
0,WBGene00000276,byn-1
0,WBGene00015377,C03B1.6
0,WBGene00015393,C03G6.5
0,WBGene00015481,C05D11.1
0,WBGene00015486,C05D11.9
0,WBGene00007400,C07A9.2
0,WBGene00015591,C08C3.4
0,WBGene00015632,C09D4.1
0,WBGene00015752,C14B9.2
0,WBGene00007611,C15H7.4
0,WBGene00007623,C16C10.2
0,WBGene00007625,C16C10.4
0,WBGene00016002,C18H9.2
0,WBGene00016010,C23G10.1
0,WBGene00016014,C23G10.7
0,WBGene00007755,C27A7.3
0,WBGene00007787,C27H6.8
0,WBGene00016185,C28F5.4
0,WBGene00016409,C34E10.8
0,WBGene00007955,C35C5.3
0,WBGene00016439,C35D10.1
0,WBGene00016452,C35D10.17
0,WBGene00016492,C37A2.6
0,WBGene00016631,C44B7.11
0,WBGene00016676,C45G9.5
0,WBGene00008164,C47G2.3
0,WBGene00016808,C50D2.5
0,WBGene00000292,cap-1
0,WBGene00000293,cap-2
0,WBGene00021097,cdc-37
0,WBGene00000390,cdc-42
0,WBGene00000424,ced-10
0,WBGene00000466,cel-1
0,WBGene00000467,cep-1
0,WBGene00010304,clpf-1
0,WBGene00000549,cls-2
0,WBGene00000552,cmd-1
0,WBGene00000599,col-10
0,WBGene00000603,col-14
0,WBGene00000611,col-34
0,WBGene00000764,coq-4
0,WBGene00000765,coq-5
0,WBGene00000766,coq-6
0,WBGene00000767,coq-8
0,WBGene00000772,cpb-3
0,WBGene00015102,cpg-2
0,WBGene00015061,cpna-2
0,WBGene00017763,crls-1
0,WBGene00000797,crn-4
0,WBGene00000813,csn-1
0,WBGene00000815,csn-3
0,WBGene00000816,csn-4
0,WBGene00000829,ctb-1
0,WBGene00010965,ctc-2
0,WBGene00000836,cul-1
0,WBGene00000843,cup-2
0,WBGene00000886,cyn-10
0,WBGene00000887,cyn-11
0,WBGene00000884,cyn-8
0,WBGene00017027,D1044.1
0,WBGene00008409,D2023.5
0,WBGene00008414,D2030.4
0,WBGene00000896,dad-1
0,WBGene00014243,dcaf-1
0,WBGene00003582,dcap-2
0,WBGene00010428,dcn-1
0,WBGene00000939,dcr-1
0,WBGene00000941,ddp-1
0,WBGene00000942,deb-1
0,WBGene00000984,dhs-21
0,WBGene00000996,dif-1
0,WBGene00000998,dig-1
0,WBGene00001005,dlc-1
0,WBGene00001018,dnc-2
0,WBGene00001028,dnj-10
0,WBGene00001055,dpf-2
0,WBGene00001082,dpy-23
0,WBGene00008458,E02H1.6
0,WBGene00017119,E04A4.5
0,WBGene00008480,E04D5.1
0,WBGene00017138,EEED8.10
0,WBGene00001248,elp-1
0,WBGene00001303,emo-1
0,WBGene00001328,epi-1
0,WBGene00001334,ero-1
0,WBGene00001365,exc-4
0,WBGene00017217,F07F6.4
0,WBGene00017241,F08C6.2
0,WBGene00008599,F09A5.2
0,WBGene00008639,F10B5.2
0,WBGene00017355,F10E9.3
0,WBGene00017362,F10G2.1
0,WBGene00008763,F13G3.3
0,WBGene00008775,F13H10.4
0,WBGene00017431,F13H6.3
0,WBGene00008800,F14E5.2
0,WBGene00008865,F15G9.1
0,WBGene00017775,F25B5.3
0,WBGene00017777,F25B5.6
0,WBGene00009177,F26H9.5
0,WBGene00009189,F27D4.4
0,WBGene00017970,F32A5.4
0,WBGene00023487,F33D4.8
0,WBGene00009367,F33H2.3
0,WBGene00018159,F37F2.2
0,WBGene00018160,F38A5.1
0,WBGene00009626,F42A8.1
0,WBGene00009647,F43C1.1
0,WBGene00018409,F44B9.8
0,WBGene00018422,F44E2.9
0,WBGene00009712,F44G4.2
0,WBGene00009734,F45G2.8
0,WBGene00009776,F46B6.12
0,WBGene00018508,F46F11.1
0,WBGene00009813,F47B10.2
0,WBGene00009831,F47G9.4
0,WBGene00009875,F49C12.5
0,WBGene00009925,F52B11.2
0,WBGene00018675,F52C9.5
0,WBGene00018718,F52H2.6
0,WBGene00009947,F52H3.5
0,WBGene00018762,F53E10.6
0,WBGene00018765,F53F10.3
0,WBGene00009987,F53F4.3
0,WBGene00010040,F54C8.7
0,WBGene00018849,F55A3.3
0,WBGene00019076,F59A3.3
0,WBGene00010318,F59B10.2
0,WBGene00010308,F59B2.3
0,WBGene00010333,F59E10.3
0,WBGene00017981,figl-1
0,WBGene00001443,fli-1
0,WBGene00001522,gbh-1
0,WBGene00001578,ges-1
0,WBGene00001620,glt-1
0,WBGene00001630,gly-5
0,WBGene00001646,gna-1
0,WBGene00001649,gob-1
0,WBGene00001660,gop-1
0,WBGene00001662,gop-3
0,WBGene00001679,gpb-1
0,WBGene00001708,grk-1
0,WBGene00001709,grk-2
0,WBGene00001790,gst-42
0,WBGene00014251,gstk-1
0,WBGene00018319,hdac-6
0,WBGene00006452,heh-1
0,WBGene00020509,hex-1
0,WBGene00001853,hil-2
0,WBGene00001854,hil-3
0,WBGene00001855,hil-4
0,WBGene00001865,him-6
0,WBGene00001978,hmp-1
0,WBGene00001980,hmr-1
0,WBGene00002050,ifa-1
0,WBGene00002138,inx-16
0,WBGene00002175,jac-1
0,WBGene00019301,K02D10.1
0,WBGene00019680,K12H4.5
0,WBGene00002215,klc-2
0,WBGene00002266,lec-3
0,WBGene00002497,let-268
0,WBGene00002583,let-363
0,WBGene00002694,let-502
0,WBGene00002855,let-721
0,WBGene00002957,let-858
0,WBGene00003026,lin-41
0,WBGene00015248,mai-2
0,WBGene00007019,mdt-19
0,WBGene00003218,mep-1
0,WBGene00003220,mes-2
0,WBGene00003230,mex-5
0,WBGene00003231,mex-6
0,WBGene00003367,mix-1
0,WBGene00008685,mon-2
0,WBGene00013140,mop-25.2
0,WBGene00003401,mpk-1
0,WBGene00003421,msh-5
0,WBGene00010557,mspn-1
0,WBGene00077690,mtp-18
0,WBGene00012342,mtr-4
0,WBGene00022516,mtx-2
0,WBGene00003504,mut-7
0,WBGene00007029,mys-1
0,WBGene00003538,nas-19
0,WBGene00003548,nas-30
0,WBGene00009141,ncbp-2
0,WBGene00003559,ncl-1
0,WBGene00003564,ncs-2
0,WBGene00010963,nduo-4
0,WBGene00010967,nduo-5
0,WBGene00003586,ndx-9
0,WBGene00003726,nhr-136
0,WBGene00010602,nhr-197
0,WBGene00003639,nhr-49
0,WBGene00003643,nhr-53
0,WBGene00003644,nhr-54
0,WBGene00003676,nhr-86
0,WBGene00003803,npp-17
0,WBGene00003805,npp-19
0,WBGene00003828,nuc-1
0,WBGene00003836,nxt-1
0,WBGene00003893,ost-1
0,WBGene00015418,pac-1
0,WBGene00003905,pad-1
0,WBGene00003916,par-1
0,WBGene00003923,pas-2
0,WBGene00003924,pas-3
0,WBGene00003930,pat-3
0,WBGene00003952,pbs-6
0,WBGene00020397,pcbd-1
0,WBGene00022389,pde-6
0,WBGene00003877,pept-1
0,WBGene00006889,pfd-3
0,WBGene00007107,pfd-4
0,WBGene00009004,pfd-6
0,WBGene00003997,pgp-3
0,WBGene00007331,pho-11
0,WBGene00004027,pie-1
0,WBGene00004042,plk-1
0,WBGene00004044,plk-3
0,WBGene00004052,pme-4
0,WBGene00004055,pmk-1
0,WBGene00004090,ppp-1
0,WBGene00012298,prmt-7
0,WBGene00004201,prx-19
0,WBGene00019867,R04B3.2
0,WBGene00019882,R05D3.9
0,WBGene00011119,R07E5.13
0,WBGene00011142,R08D7.1
0,WBGene00011240,R11A8.7
